Nd			Dg			Cq			Cc			H1			Sn
3028			31			32			1.0			79			31
3082			33			34			1.0			79			33
3124			42			34			0.89			79			33
3169			42			34			0.89			79			33
3288			37			34			0.84			79			33
3289			41			34			0.9			79			33
3379			31			32			1.0			79			31
3592			33			34			1.0			79			33
3790			34			34			0.98			79			33
3926			40			34			0.72			79			33
648			2			3			1.0			79			2
17			5			4			0.5			79			3
2554			3			4			1.0			79			3
2722			8			4			0.25			79			3
3245			10			4			0.22			79			3
3442			6			4			0.4			79			3
484			5			3			0.1			79			2
18			2			2			0			79			1
2365			1			2			1			79			1
340			10			5			0.29			79			5
20			4			4			0.5			79			3
531			1			2			1			79			1
2064			13			4			0.13			79			3
3982			8			4			0.29			79			3
920			12			5			0.2			79			4
21			1			2			1			79			1
127			6			4			0.33			79			3
22			8			4			0.29			79			3
796			6			4			0.27			79			3
1124			3			4			1.0			79			3
1526			4			4			0.5			79			3
2090			16			5			0.15			79			5
2324			2			3			1.0			79			2
2376			2			3			1.0			79			2
2613			12			5			0.32			79			5
23			1			2			1			79			1
1181			26			6			0.11			79			5
24			2			3			1.0			79			2
2173			10			4			0.18			79			5
498			17			7			0.21			79			6
25			4			4			0.5			79			3
1128			3			4			1.0			79			3
1307			3			3			0.33			79			3
2604			3			4			1.0			79			3
269			4			5			1.0			79			4
26			11			5			0.29			79			4
622			8			4			0.36			79			4
661			9			4			0.36			79			4
1034			12			5			0.21			79			4
1562			20			6			0.17			79			5
1917			5			5			0.7			79			4
1972			9			5			0.25			79			4
2221			30			5			0.08			79			5
2413			4			5			1.0			79			4
3171			5			5			0.7			79			4
4152			5			4			0.6			79			4
2698			4			5			1.0			79			4
27			6			5			0.4			79			4
2929			4			5			1.0			79			4
3074			6			5			0.47			79			4
3580			4			4			0.5			79			3
3835			7			5			0.29			79			4
3853			1			2			1			79			1
1344			8			5			0.36			79			4
28			4			5			1.0			79			4
2164			7			5			0.43			79			4
2693			4			5			1.0			79			4
2726			6			5			0.4			79			4
2366			4			3			0.33			79			2
29			2			3			1.0			79			2
1764			11			4			0.15			79			4
30			2			3			1.0			79			2
2650			5			4			0.4			79			4
594			10			3			0.07			79			4
31			2			3			1.0			79			2
2673			5			4			0.4			79			3
154			25			7			0.11			79			6
32			8			5			0.29			79			4
194			3			3			0.33			79			2
1555			9			5			0.33			79			4
1601			15			4			0.12			79			5
1980			4			5			1.0			79			4
2982			4			5			1.0			79			4
3300			2			3			1.0			79			2
3728			10			7			0.47			79			6
3126			16			6			0.28			79			5
33			3			4			1.0			79			3
3197			4			4			0.5			79			3
3771			26			6			0.14			79			5
845			5			3			0.1			79			3
34			1			2			1			79			1
44			17			18			1.0			79			17
35			17			18			1.0			79			17
68			17			18			1.0			79			17
170			17			18			1.0			79			17
290			17			18			1.0			79			17
627			18			18			0.89			79			17
739			17			18			1.0			79			17
1118			17			18			1.0			79			17
1321			17			18			1.0			79			17
2214			17			18			1.0			79			17
2768			17			18			1.0			79			17
2838			17			18			1.0			79			17
2847			17			18			1.0			79			17
2945			17			18			1.0			79			17
2997			17			18			1.0			79			17
3107			17			18			1.0			79			17
3604			37			21			0.49			79			20
3638			17			18			1.0			79			17
108			2			3			1.0			79			2
36			4			3			0.17			79			2
158			29			22			0.61			79			21
720			2			3			1.0			79			2
1291			3			3			0.33			79			2
1686			4			5			1.0			79			4
37			4			5			1.0			79			4
3662			11			5			0.25			79			5
3674			33			6			0.1			79			6
3686			14			9			0.38			79			8
3204			12			4			0.14			79			4
38			3			4			1.0			79			3
3209			5			4			0.6			79			3
3560			19			4			0.13			79			5
1206			2			3			1.0			79			2
39			2			3			1.0			79			2
1410			11			3			0.07			79			4
2120			6			4			0.33			79			3
40			2			3			1.0			79			2
2795			6			3			0.2			79			3
90			14			15			1.0			79			14
41			14			15			1.0			79			14
1083			14			15			1.0			79			14
1138			18			15			0.63			79			14
1296			14			15			1.0			79			14
1436			14			15			1.0			79			14
1437			14			15			1.0			79			14
1469			14			15			1.0			79			14
1513			24			15			0.36			79			14
1542			14			15			1.0			79			14
2606			14			15			1.0			79			14
2635			14			15			1.0			79			14
3112			14			15			1.0			79			14
3128			14			15			1.0			79			14
3942			14			15			1.0			79			14
580			13			4			0.21			79			4
42			6			4			0.4			79			4
1341			4			4			0.83			79			4
2099			16			7			0.25			79			6
3789			16			4			0.1			79			5
3848			5			4			0.7			79			4
3884			11			5			0.35			79			4
43			7			4			0.29			79			4
1662			7			5			0.43			79			4
2145			10			3			0.13			79			4
2966			8			4			0.29			79			4
3038			4			4			0.5			79			3
3486			3			4			1.0			79			3
67			13			7			0.46			79			9
45			30			8			0.24			79			9
286			6			7			1.0			79			6
385			2			3			1.0			79			2
473			24			8			0.36			79			9
474			3			4			1.0			79			3
918			7			8			1.0			79			7
1092			27			9			0.28			79			9
1357			14			7			0.26			79			8
1372			7			6			0.62			79			5
1514			21			7			0.23			79			9
1945			9			7			0.75			79			7
2264			23			6			0.11			79			5
2367			14			9			0.43			79			8
2555			6			7			1.0			79			6
2628			20			6			0.13			79			5
2919			8			5			0.43			79			4
3328			15			6			0.22			79			9
3579			30			9			0.18			79			9
3664			18			8			0.41			79			9
3744			22			9			0.39			79			9
3838			6			6			0.73			79			5
3939			8			4			0.25			79			3
3997			5			6			1.0			79			5
1951			15			4			0.08			79			4
46			1			2			1			79			1
1347			2			3			1.0			79			2
47			4			3			0.33			79			2
1629			2			3			1.0			79			2
2538			8			5			0.39			79			4
2542			4			4			0.67			79			3
214			4			4			0.83			79			3
48			7			4			0.43			79			3
520			3			4			1.0			79			3
783			7			4			0.38			79			3
2267			12			4			0.15			79			3
2611			3			4			1.0			79			3
2826			9			4			0.19			79			3
3545			3			4			1.0			79			3
2290			13			3			0.08			79			4
49			2			3			1.0			79			2
2627			11			7			0.4			79			6
1323			5			3			0.1			79			2
50			1			2			1			79			1
755			3			4			1.0			79			3
51			3			4			1.0			79			3
874			4			4			0.5			79			3
3357			4			4			0.5			79			3
52			5			3			0.4			79			3
954			3			3			0.67			79			2
2057			3			3			0.33			79			2
3495			11			3			0.09			79			3
1325			2			3			1.0			79			2
53			3			3			0.67			79			2
2039			4			4			0.67			79			3
3869			8			4			0.29			79			3
191			24			7			0.14			79			6
54			3			4			1.0			79			3
1578			4			4			0.5			79			3
4066			6			4			0.53			79			3
463			18			6			0.2			79			5
55			6			6			0.93			79			5
1831			6			6			0.93			79			5
1839			6			6			0.93			79			5
2329			19			6			0.22			79			5
3006			5			6			1.0			79			5
3240			5			6			1.0			79			5
220			4			5			1.0			79			4
56			8			5			0.29			79			4
414			4			5			1.0			79			4
1754			4			5			1.0			79			4
2359			9			4			0.17			79			5
2921			2			3			1.0			79			2
3285			11			5			0.24			79			4
3764			9			4			0.17			79			3
3843			2			3			1.0			79			2
2438			9			4			0.22			79			4
57			2			3			1.0			79			2
3840			9			4			0.19			79			3
1037			6			3			0.13			79			2
58			1			2			1			79			1
59			2			3			1.0			79			2
1061			3			3			0.33			79			2
2171			2			3			1.0			79			2
60			5			3			0.3			79			2
2964			2			3			1.0			79			2
3514			5			3			0.3			79			2
3516			2			3			1.0			79			2
3925			6			3			0.2			79			2
1785			5			3			0.2			79			2
61			2			3			1.0			79			2
2023			19			7			0.15			79			6
2346			12			7			0.3			79			6
62			2			3			1.0			79			2
3367			3			3			0.67			79			2
3392			2			2			0			79			1
63			1			2			1			79			1
242			5			3			0.3			79			3
64			6			3			0.33			79			2
922			2			3			1.0			79			2
981			2			3			1.0			79			2
2285			22			3			0.06			79			4
2728			2			3			1.0			79			2
2829			4			3			0.5			79			2
1108			10			5			0.36			79			4
65			2			3			1.0			79			2
3013			6			4			0.33			79			4
355			17			18			1.0			79			17
66			30			18			0.35			79			17
429			38			18			0.25			79			17
480			12			5			0.17			79			5
524			16			5			0.12			79			5
585			3			3			0.67			79			3
776			25			18			0.5			79			17
777			19			18			0.82			79			17
926			22			18			0.63			79			17
1079			31			12			0.2			79			11
1237			17			18			1.0			79			17
1540			2			3			1.0			79			2
1547			31			18			0.33			79			17
1723			22			18			0.62			79			17
1725			6			3			0.13			79			3
1845			3			3			0.33			79			3
2126			17			18			1.0			79			17
2249			17			18			1.0			79			17
2721			9			3			0.14			79			3
2724			29			18			0.4			79			17
2751			4			3			0.33			79			4
3000			17			18			1.0			79			17
3049			17			18			1.0			79			17
3121			25			10			0.24			79			9
3265			32			18			0.32			79			17
3274			17			18			1.0			79			17
3396			6			5			0.53			79			4
3565			4			5			1.0			79			4
3877			4			5			1.0			79			4
3990			17			18			1.0			79			17
4021			23			18			0.57			79			17
107			26			6			0.14			79			9
1825			21			6			0.13			79			9
3172			6			6			0.73			79			5
2676			12			4			0.14			79			5
69			3			4			1.0			79			3
3501			13			4			0.17			79			5
3762			4			4			0.83			79			3
1627			2			3			1.0			79			2
72			4			3			0.33			79			2
2318			3			3			0.67			79			2
2709			9			4			0.19			79			3
3449			7			4			0.19			79			3
73			5			6			1.0			79			5
2217			5			6			1.0			79			5
2375			5			6			1.0			79			5
2924			13			6			0.22			79			5
325			3			4			1.0			79			3
74			5			4			0.7			79			3
1004			5			4			0.5			79			3
1241			3			4			1.0			79			3
2522			5			4			0.7			79			3
2545			4			4			0.83			79			3
1614			7			3			0.14			79			3
75			1			2			1			79			1
620			17			4			0.11			79			5
76			2			2			0			79			2
1051			6			3			0.07			79			3
3182			3			4			1.0			79			3
77			3			4			1.0			79			3
3201			3			4			1.0			79			3
3404			4			4			0.5			79			3
246			5			4			0.6			79			4
78			6			4			0.53			79			4
1012			32			5			0.08			79			5
1269			15			4			0.14			79			4
2004			3			4			1.0			79			3
2196			3			4			1.0			79			3
2417			5			4			0.4			79			4
2174			37			4			0.02			79			5
79			1			2			1			79			1
731			1			2			1			79			1
80			4			3			0.17			79			2
1162			3			3			0.33			79			2
324			16			4			0.1			79			3
81			1			2			1			79			1
2067			8			5			0.25			79			4
82			1			2			1			79			1
2133			1			2			1			79			1
83			2			2			0			79			1
2658			6			3			0.13			79			3
1090			3			4			1.0			79			3
84			3			4			1.0			79			3
2130			13			4			0.15			79			4
3044			11			4			0.29			79			4
3178			4			3			0.17			79			3
85			1			2			1			79			1
92			8			7			0.61			79			6
86			30			7			0.12			79			6
331			4			4			0.67			79			3
417			5			5			0.8			79			5
497			5			4			0.6			79			3
558			13			4			0.14			79			3
730			2			3			1.0			79			2
753			3			4			1.0			79			3
1157			3			4			1.0			79			3
1564			6			7			1.0			79			6
1621			3			4			1.0			79			3
1637			7			7			0.71			79			6
1666			8			4			0.43			79			3
1721			7			7			0.81			79			6
1882			6			4			0.6			79			3
2078			12			4			0.2			79			5
2144			2			3			1.0			79			2
2160			3			4			1.0			79			3
2242			8			4			0.36			79			3
2583			6			5			0.67			79			5
2973			2			3			1.0			79			2
3118			6			5			0.67			79			5
3279			4			4			0.67			79			3
3280			2			3			1.0			79			2
3355			3			4			1.0			79			3
3652			13			4			0.09			79			4
3727			3			3			0.33			79			2
3891			3			4			1.0			79			3
3966			10			7			0.51			79			6
3985			2			3			1.0			79			2
4084			6			7			1.0			79			6
1384			9			4			0.11			79			3
87			1			2			1			79			1
150			1			2			1			79			1
88			13			5			0.14			79			4
188			8			4			0.18			79			4
282			2			3			1.0			79			2
819			2			3			1.0			79			2
972			17			6			0.26			79			5
2114			5			4			0.4			79			3
2156			1			2			1			79			1
2282			21			6			0.19			79			5
2523			19			6			0.19			79			5
2617			3			4			1.0			79			3
3119			3			4			1.0			79			3
3256			4			5			1.0			79			4
3356			6			3			0.2			79			3
181			7			5			0.43			79			4
89			11			5			0.25			79			4
275			3			4			1.0			79			3
744			3			3			0.33			79			3
947			4			5			1.0			79			4
1100			21			14			0.42			79			13
1258			8			5			0.32			79			4
2062			8			5			0.39			79			4
2637			3			4			1.0			79			3
2639			10			4			0.27			79			4
3509			5			5			0.6			79			4
3745			1			2			1			79			1
287			8			5			0.25			79			4
91			4			5			1.0			79			4
455			16			5			0.09			79			5
1511			5			5			0.6			79			4
2811			6			5			0.47			79			4
1789			7			4			0.33			79			3
93			2			3			1.0			79			2
3866			4			4			0.67			79			3
1388			10			4			0.07			79			3
94			2			2			0			79			1
3278			1			2			1			79			1
303			19			7			0.25			79			6
95			24			7			0.17			79			6
347			6			6			0.87			79			5
548			23			6			0.15			79			5
727			10			6			0.49			79			5
913			3			4			1.0			79			3
935			3			4			1.0			79			3
957			8			7			0.71			79			6
1039			6			4			0.4			79			3
1259			3			4			1.0			79			3
1340			2			3			1.0			79			2
1919			3			4			1.0			79			3
1938			15			6			0.25			79			5
2295			3			4			1.0			79			3
2682			3			3			0.33			79			3
3064			3			4			1.0			79			3
3329			6			7			1.0			79			6
3386			3			4			1.0			79			3
3645			3			4			1.0			79			3
3788			9			7			0.72			79			6
3937			17			5			0.18			79			5
4158			7			7			0.86			79			6
2908			1			2			1			79			1
96			2			2			0			79			1
3810			8			3			0.14			79			4
279			6			6			0.8			79			5
97			5			6			1.0			79			5
2980			5			6			1.0			79			5
215			4			3			0.33			79			2
99			4			4			0.5			79			3
811			3			4			1.0			79			3
3125			10			4			0.18			79			4
2050			26			6			0.12			79			5
100			2			3			1.0			79			2
3092			16			4			0.09			79			5
1038			2			3			1.0			79			2
101			2			3			1.0			79			2
3769			4			3			0.33			79			2
156			8			9			1.0			79			8
102			16			9			0.4			79			8
345			8			9			1.0			79			8
1261			9			5			0.39			79			5
1334			4			5			1.0			79			4
1446			6			3			0.13			79			4
1837			8			9			1.0			79			8
1879			8			9			1.0			79			8
1929			5			6			1.0			79			5
1959			15			9			0.45			79			8
2063			5			6			1.0			79			5
2589			8			6			0.61			79			5
2607			4			5			1.0			79			4
2830			10			5			0.27			79			5
3326			8			9			1.0			79			8
3480			8			9			1.0			79			8
3819			15			9			0.41			79			8
103			18			6			0.16			79			5
741			8			6			0.46			79			5
952			4			5			1.0			79			4
1377			18			6			0.18			79			5
1484			11			4			0.16			79			4
1799			5			6			1.0			79			5
1916			4			5			1.0			79			4
1953			7			4			0.29			79			4
2089			2			3			1.0			79			2
2412			12			5			0.18			79			5
2431			5			5			0.6			79			4
2463			10			6			0.38			79			5
2486			1			2			1			79			1
2803			11			6			0.31			79			5
2879			4			5			1.0			79			4
3024			6			4			0.33			79			4
3691			3			3			0.67			79			3
195			3			3			0.33			79			3
104			17			10			0.34			79			9
538			3			3			0.33			79			3
586			9			10			1.0			79			9
883			9			10			1.0			79			9
1452			9			10			1.0			79			9
1678			30			5			0.08			79			5
2304			13			10			0.54			79			9
2454			16			6			0.2			79			8
3770			9			10			1.0			79			9
3779			9			10			1.0			79			9
3875			20			10			0.25			79			9
3988			13			10			0.53			79			9
958			4			2			0			79			2
105			1			2			1			79			1
682			18			4			0.1			79			5
106			7			4			0.29			79			4
1166			10			5			0.29			79			5
1534			5			4			0.7			79			3
1592			11			4			0.13			79			4
2416			10			5			0.24			79			5
3059			16			4			0.07			79			5
3792			2			3			1.0			79			2
122			13			12			0.73			79			11
728			6			4			0.33			79			4
800			22			12			0.35			79			11
1129			14			3			0.1			79			5
1248			2			2			0			79			2
1636			9			3			0.03			79			3
1657			4			4			0.67			79			4
1824			7			3			0.1			79			3
1883			9			4			0.31			79			8
1947			22			4			0.09			79			5
2049			11			6			0.29			79			6
2076			8			7			0.64			79			6
2692			6			4			0.33			79			4
2959			4			4			0.67			79			4
3476			4			5			1.0			79			4
3548			4			3			0.33			79			3
1048			4			3			0.33			79			2
109			4			3			0.17			79			2
2457			2			3			1.0			79			2
3022			5			3			0.1			79			2
3478			2			2			0			79			1
357			14			5			0.18			79			5
110			6			3			0.2			79			3
1028			5			4			0.5			79			3
1352			2			3			1.0			79			2
1354			12			4			0.11			79			3
2845			14			4			0.11			79			5
111			1			2			1			79			1
3052			3			3			0.67			79			2
112			2			3			1.0			79			2
692			3			4			1.0			79			3
113			9			4			0.25			79			4
1174			8			4			0.32			79			4
1538			20			4			0.09			79			4
1922			13			4			0.13			79			5
3037			6			4			0.33			79			4
4146			3			4			1.0			79			3
4155			5			4			0.4			79			4
3746			4			3			0.17			79			2
114			1			2			1			79			1
2239			8			4			0.18			79			4
115			1			2			1			79			1
2799			14			4			0.16			79			4
116			2			3			1.0			79			2
3122			2			3			1.0			79			2
2775			3			2			0			79			2
117			1			2			1			79			1
313			8			9			1.0			79			8
834			7			6			0.81			79			6
1493			4			5			1.0			79			4
2033			9			9			0.97			79			8
3147			5			3			0.2			79			4
3776			6			7			1.0			79			6
166			3			4			1.0			79			3
119			3			4			1.0			79			3
199			8			4			0.29			79			3
3540			3			4			1.0			79			3
1044			6			4			0.33			79			4
120			9			3			0.11			79			4
1576			4			4			0.67			79			4
1855			4			3			0.33			79			3
2286			3			3			0.33			79			2
2634			2			2			0			79			1
3672			5			5			0.7			79			4
3754			6			4			0.33			79			4
402			1			2			1			79			1
121			2			2			0			79			1
2201			2			2			0			79			1
336			12			12			0.85			79			11
1734			12			12			0.83			79			11
2017			11			12			1.0			79			11
2202			14			12			0.66			79			11
2702			17			12			0.48			79			11
2910			27			12			0.21			79			11
3635			11			12			1.0			79			11
3729			30			12			0.2			79			11
533			15			16			1.0			79			15
123			15			16			1.0			79			15
768			15			16			1.0			79			15
1195			15			16			1.0			79			15
1551			15			16			1.0			79			15
1600			15			16			1.0			79			15
2183			15			16			1.0			79			15
2190			15			16			1.0			79			15
2279			15			16			1.0			79			15
2490			15			16			1.0			79			15
2550			15			16			1.0			79			15
2576			15			16			1.0			79			15
3174			15			16			1.0			79			15
3489			15			16			1.0			79			15
3556			15			16			1.0			79			15
3574			16			16			0.88			79			15
395			5			4			0.3			79			3
124			3			4			1.0			79			3
916			3			4			1.0			79			3
1779			4			4			0.5			79			3
2141			12			5			0.27			79			5
125			3			4			1.0			79			3
2580			5			4			0.4			79			3
587			8			3			0.14			79			3
126			2			3			1.0			79			2
967			4			3			0.33			79			3
3957			19			5			0.11			79			5
2016			16			3			0.01			79			4
128			4			3			0.33			79			2
2677			2			3			1.0			79			2
3154			2			3			1.0			79			2
3588			7			4			0.24			79			3
3456			4			2			0			79			1
129			1			2			1			79			1
259			9			4			0.17			79			3
130			1			2			1			79			1
2013			9			4			0.25			79			4
131			2			3			1.0			79			2
3217			2			3			1.0			79			2
380			8			6			0.5			79			5
132			5			6			1.0			79			5
565			13			6			0.24			79			5
2243			6			6			0.73			79			5
3573			6			6			0.8			79			5
1249			4			3			0.5			79			2
133			3			3			0.67			79			2
1875			4			3			0.33			79			2
1878			3			3			0.67			79			2
134			4			4			0.67			79			3
1406			4			3			0.33			79			3
3921			4			3			0.17			79			2
135			2			3			1.0			79			2
3934			10			4			0.16			79			3
399			3			4			1.0			79			3
136			3			4			1.0			79			3
2672			3			4			1.0			79			3
2867			4			4			0.5			79			3
980			11			4			0.13			79			4
137			2			3			1.0			79			2
1531			3			3			0.67			79			2
236			6			7			1.0			79			6
138			6			7			1.0			79			6
1135			25			7			0.1			79			6
1234			18			7			0.18			79			6
3602			18			7			0.18			79			6
3726			9			7			0.64			79			6
892			8			5			0.46			79			4
139			5			4			0.7			79			4
943			9			4			0.25			79			4
2187			9			4			0.25			79			4
3624			3			4			1.0			79			3
1169			12			4			0.23			79			4
140			5			4			0.7			79			3
1320			5			4			0.7			79			3
2636			17			4			0.13			79			4
3372			3			4			1.0			79			3
817			29			5			0.06			79			5
141			3			3			0.67			79			3
3572			12			3			0.09			79			5
229			11			8			0.56			79			7
142			7			8			1.0			79			7
353			7			8			1.0			79			7
542			7			8			1.0			79			7
595			11			8			0.56			79			7
837			7			8			1.0			79			7
1447			10			8			0.53			79			7
2942			7			8			1.0			79			7
2478			8			5			0.29			79			4
143			2			3			1.0			79			2
2940			2			3			1.0			79			2
1184			7			5			0.52			79			4
144			2			2			0			79			2
1364			2			2			0			79			2
1099			3			3			0.67			79			2
145			2			3			1.0			79			2
737			5			5			0.8			79			4
146			5			5			0.6			79			4
2670			4			5			1.0			79			4
3793			6			5			0.6			79			4
4105			1			2			1			79			1
4110			10			5			0.29			79			4
147			7			6			0.52			79			5
2276			2			3			1.0			79			2
3301			6			6			0.8			79			5
3965			14			6			0.27			79			6
4038			8			4			0.18			79			4
547			8			4			0.21			79			3
148			5			3			0.3			79			3
667			5			3			0.2			79			3
1371			5			3			0.3			79			3
2870			3			3			0.67			79			3
827			2			3			1.0			79			2
149			2			3			1.0			79			2
846			3			3			0.33			79			2
532			11			8			0.42			79			7
151			9			8			0.61			79			7
746			2			3			1.0			79			2
2124			7			8			1.0			79			7
2574			7			8			1.0			79			7
3557			7			8			1.0			79			7
3694			10			8			0.53			79			7
3730			7			8			1.0			79			7
4031			8			8			0.75			79			7
152			7			5			0.43			79			5
1154			11			4			0.16			79			4
1602			4			4			0.67			79			4
3401			22			5			0.2			79			6
3675			8			5			0.32			79			5
153			3			4			1.0			79			3
976			13			4			0.13			79			5
3531			7			4			0.19			79			4
183			9			4			0.11			79			4
260			10			7			0.42			79			6
333			17			4			0.08			79			4
747			19			8			0.18			79			7
828			18			4			0.1			79			5
923			10			7			0.42			79			6
1017			6			7			1.0			79			6
1556			15			5			0.11			79			4
1868			7			4			0.33			79			4
1880			10			7			0.47			79			6
2205			21			5			0.1			79			5
2467			10			5			0.31			79			5
2875			2			3			1.0			79			2
3309			1			2			1			79			1
3313			28			21			0.51			79			20
3612			12			3			0.12			79			5
3684			9			5			0.28			79			5
3724			9			5			0.22			79			5
3828			17			5			0.18			79			5
3863			6			3			0.2			79			4
4022			7			7			0.76			79			6
4114			4			3			0.33			79			3
1428			10			4			0.16			79			5
155			2			3			1.0			79			2
2484			13			4			0.12			79			5
847			12			5			0.24			79			4
157			4			5			1.0			79			4
1940			10			5			0.24			79			4
3036			4			5			1.0			79			4
4103			9			5			0.28			79			4
240			23			22			0.97			79			21
388			23			22			0.97			79			21
401			3			4			1.0			79			3
557			23			22			0.97			79			21
708			33			22			0.5			79			21
758			19			20			1.0			79			19
809			1			2			1			79			1
824			23			22			0.97			79			21
1015			30			22			0.6			79			21
1031			23			22			0.97			79			21
1113			2			3			1.0			79			2
1630			8			4			0.29			79			5
1884			12			4			0.14			79			5
2197			23			22			0.97			79			21
2291			21			22			1.0			79			21
2370			23			22			0.97			79			21
2399			23			22			0.97			79			21
2400			23			22			0.97			79			21
2411			23			22			0.97			79			21
2742			23			22			0.97			79			21
2745			21			22			1.0			79			21
2898			24			22			0.89			79			21
2999			23			22			0.97			79			21
3127			23			22			0.97			79			21
3708			21			22			1.0			79			21
3917			21			22			1.0			79			21
3918			19			20			1.0			79			19
3936			23			22			0.97			79			21
274			5			3			0.2			79			2
159			2			3			1.0			79			2
1949			2			3			1.0			79			2
2865			11			4			0.15			79			3
160			1			2			1			79			1
261			2			3			1.0			79			2
161			2			3			1.0			79			2
1571			5			5			0.9			79			4
162			7			5			0.43			79			4
1906			5			5			0.9			79			4
2937			9			5			0.42			79			4
2965			8			5			0.54			79			4
3130			3			4			1.0			79			3
3428			3			4			1.0			79			3
3627			3			4			1.0			79			3
163			2			3			1.0			79			2
2688			5			5			0.7			79			4
534			16			7			0.39			79			9
164			8			3			0.18			79			3
956			2			3			1.0			79			2
1516			2			3			1.0			79			2
1631			3			3			0.67			79			3
2096			17			7			0.25			79			8
2241			1			2			1			79			1
2474			5			3			0.3			79			3
3482			3			3			0.67			79			3
1411			5			4			0.3			79			3
165			1			2			1			79			1
254			9			7			0.47			79			6
167			9			7			0.56			79			6
579			2			3			1.0			79			2
2236			13			7			0.31			79			6
2862			24			5			0.08			79			6
3104			7			7			0.86			79			6
3795			8			7			0.61			79			6
3897			7			7			0.86			79			6
