Nd			Dg			Cq			Cc			H1			Sn
28081			32			5			0.03			780			30
28084			26			3			0.02			780			26
28137			53			5			0.04			780			32
28811			33			4			0.02			780			27
28886			51			5			0.02			780			32
28890			37			4			0.03			780			29
28891			36			4			0.03			780			28
28892			27			4			0.03			780			23
28902			27			4			0.03			780			23
28903			33			5			0.03			780			28
28912			29			4			0.04			780			25
28913			25			4			0.1			780			22
28915			52			6			0.15			780			32
28916			66			7			0.16			780			32
29433			18			5			0.05			780			18
29435			24			5			0.07			780			23
29448			30			5			0.03			780			30
29449			27			4			0.02			780			27
29459			28			5			0.03			780			28
29467			20			3			0.03			780			20
29468			15			4			0.05			780			15
29471			15			4			0.05			780			15
29472			23			3			0.03			780			23
29473			24			3			0.02			780			24
29481			23			3			0.02			780			23
29482			17			5			0.06			780			17
29483			24			4			0.04			780			24
29484			20			3			0.03			780			20
29490			26			4			0.03			780			26
29498			26			4			0.02			780			26
29502			26			4			0.02			780			25
29504			15			5			0.08			780			15
29508			26			5			0.03			780			26
29513			27			5			0.03			780			27
29514			13			3			0.04			780			13
29515			16			4			0.04			780			16
29516			26			5			0.04			780			26
29634			29			4			0.03			780			25
29635			8			3			0.04			780			8
29638			15			3			0.03			780			15
29639			25			3			0.02			780			25
29640			19			3			0.02			780			19
29641			8			3			0.04			780			8
29642			19			3			0.04			780			19
29643			7			2			0			780			7
29644			13			3			0.04			780			13
29650			16			4			0.04			780			16
29651			9			3			0.03			780			9
29652			18			5			0.1			780			18
29653			16			4			0.1			780			16
29654			23			3			0.02			780			23
29655			15			4			0.05			780			15
29656			20			5			0.08			780			20
29657			15			4			0.04			780			15
29667			8			3			0.04			780			8
29668			19			3			0.02			780			19
29670			17			3			0.03			780			17
29671			13			3			0.04			780			13
29672			16			3			0.03			780			16
29673			9			3			0.03			780			9
29674			9			3			0.03			780			9
29677			14			4			0.05			780			14
29687			25			3			0.03			780			25
29690			25			3			0.02			780			25
29692			28			3			0.03			780			24
29694			27			4			0.03			780			26
29697			19			3			0.02			780			19
29699			18			3			0.03			780			18
29701			8			3			0.04			780			8
29705			18			3			0.03			780			17
29708			20			3			0.02			780			20
29709			24			3			0.04			780			23
29710			20			3			0.02			780			20
29711			22			3			0.02			780			22
29712			17			3			0.03			780			17
29713			26			4			0.02			781			26
29715			18			3			0.03			783			18
29716			9			3			0.06			785			9
29718			9			3			0.03			787			9
29869			13			3			0.04			789			13
29873			19			3			0.02			791			19
29874			22			4			0.03			793			22
29875			21			3			0.03			795			21
29876			10			3			0.02			797			9
29877			24			3			0.02			799			24
29878			8			3			0.04			801			8
29879			26			4			0.02			802			26
29880			16			3			0.03			802			16
29884			27			3			0.02			802			26
29885			19			3			0.03			802			19
29886			9			3			0.03			802			9
29889			19			3			0.02			802			19
29890			13			3			0.04			802			13
29891			22			3			0.02			802			22
29892			22			3			0.02			802			22
29898			19			3			0.02			802			19
29899			24			3			0.02			802			24
29901			22			3			0.03			802			22
29902			24			3			0.03			802			24
29903			7			2			0			802			7
29904			15			4			0.05			802			15
29910			22			4			0.06			802			22
29912			27			4			0.02			802			27
29913			15			4			0.05			802			15
29914			20			3			0.03			802			20
29915			22			4			0.03			802			22
29917			21			3			0.03			802			21
29918			17			3			0.02			802			17
29922			7			2			0			802			7
29923			14			3			0.03			802			14
29924			7			2			0			802			7
29925			8			3			0.04			802			8
29926			16			3			0.03			802			16
29927			16			3			0.03			802			16
29928			22			3			0.03			802			22
29929			22			3			0.03			802			22
29993			41			6			0.2			802			30
30061			36			4			0.05			802			30
30445			50			5			0.03			802			32
30571			37			5			0.03			802			32
30862			33			3			0.02			802			28
30870			32			5			0.06			802			27
30884			19			3			0.04			802			19
30950			6			4			0.6			802			5
31035			25			4			0.05			802			10
31403			25			4			0.06			802			21
31404			8			3			0.04			802			8
31405			11			3			0.04			802			11
31406			9			3			0.03			802			9
31407			20			3			0.02			802			19
31408			19			3			0.02			802			19
31412			15			3			0.04			802			15
31414			9			3			0.03			802			9
31416			12			3			0.03			802			12
31417			20			3			0.03			802			20
31423			17			3			0.03			802			17
31426			19			3			0.02			802			19
31427			15			3			0.03			802			15
31429			17			3			0.02			802			17
31430			13			4			0.13			802			13
31433			8			3			0.04			802			8
31435			10			3			0.02			802			10
31436			17			4			0.07			802			17
31438			18			3			0.03			802			18
31439			19			3			0.02			802			19
31440			7			3			0.05			802			7
31441			16			3			0.03			802			16
31449			8			3			0.04			802			8
31450			19			3			0.02			802			19
31451			7			3			0.05			802			7
31461			17			3			0.04			802			17
31465			17			3			0.03			802			17
31466			22			3			0.03			802			21
31586			23			3			0.03			802			23
32448			18			3			0.03			802			18
32453			18			3			0.02			802			18
32456			23			4			0.03			802			23
32457			19			3			0.04			802			19
32460			25			3			0.02			802			25
32461			28			4			0.05			802			24
32462			19			3			0.02			802			19
32463			25			3			0.02			802			25
32467			24			4			0.03			802			24
32468			17			3			0.03			802			17
32469			22			3			0.03			802			21
32473			23			4			0.02			802			23
32474			21			3			0.02			802			21
32476			19			3			0.02			802			19
32481			23			3			0.02			802			23
32482			19			3			0.02			802			19
32483			19			3			0.03			802			19
32488			22			3			0.03			802			22
32549			23			4			0.04			802			23
32550			24			4			0.11			802			23
32551			13			5			0.12			802			13
32552			18			5			0.05			802			18
32802			19			3			0.03			802			16
33013			29			5			0.04			802			25
33315			31			5			0.1			802			19
33605			13			4			0.1			802			11
33656			68			5			0.07			802			24
33690			31			4			0.05			802			29
33990			27			4			0.03			802			25
34312			34			5			0.02			802			32
34778			32			4			0.03			802			27
34960			9			5			0.47			802			8
34980			16			4			0.05			802			15
35123			26			4			0.05			802			24
35323			36			5			0.05			802			30
35757			14			3			0.03			802			14
36154			9			4			0.22			802			9
36760			15			3			0.05			802			14
36775			18			4			0.05			802			17
36779			34			5			0.03			802			31
36785			27			3			0.02			802			26
37316			37			6			0.12			802			30
37319			29			4			0.06			802			26
37476			8			4			0.25			802			5
37612			39			4			0.06			802			28
37776			25			4			0.05			802			24
38027			15			4			0.16			802			14
38070			18			4			0.05			802			17
38088			8			4			0.39			802			7
38102			28			5			0.05			802			26
38643			14			4			0.12			802			10
38668			4			4			0.67			802			4
38691			22			3			0.02			802			22
39197			23			4			0.03			802			23
39222			31			5			0.05			802			28
39422			5			4			0.4			802			4
39508			18			3			0.03			802			18
40032			29			4			0.05			802			25
40033			6			4			0.6			802			6
40626			12			4			0.12			802			11
41325			34			5			0.03			802			29
41348			19			4			0.09			802			10
41639			8			3			0.04			802			8
41974			5			4			0.7			802			5
42065			25			3			0.02			802			23
42084			17			3			0.04			802			16
42578			33			4			0.02			802			29
42583			31			4			0.03			802			29
43010			8			4			0.36			802			7
43471			27			4			0.03			802			24
43807			4			4			0.67			802			4
44342			19			4			0.04			802			18
44530			36			5			0.04			802			30
45001			36			5			0.06			802			30
45017			29			3			0.03			802			26
45393			20			3			0.04			802			18
45627			34			5			0.03			802			31
45633			28			3			0.02			802			23
45845			18			5			0.24			802			18
46325			6			4			0.33			802			5
46377			26			4			0.05			802			24
46397			30			3			0.02			802			26
46590			16			4			0.12			802			13
46792			21			5			0.09			802			19
47271			32			5			0.03			802			31
47281			30			4			0.03			802			28
47306			12			3			0.03			802			12
47310			12			3			0.05			802			12
47316			16			3			0.03			802			16
48613			23			4			0.04			802			23
48632			38			5			0.02			802			28
48635			36			5			0.05			802			29
48641			41			5			0.04			802			32
48664			18			3			0.03			802			16
48666			26			5			0.06			802			22
48797			19			3			0.02			802			19
48807			30			5			0.04			802			26
48809			36			5			0.07			802			30
48997			35			3			0.02			802			26
49033			33			4			0.03			802			29
49080			9			4			0.22			802			9
49187			16			3			0.01			802			11
49805			37			5			0.03			802			31
49809			38			5			0.03			802			30
49812			31			3			0.02			802			25
49819			34			5			0.03			802			28
49835			29			5			0.03			802			28
49839			19			3			0.03			802			18
50126			27			3			0.02			802			25
50286			27			4			0.06			802			24
50303			20			4			0.06			802			19
50586			20			4			0.04			802			19
50746			22			3			0.03			802			22
51910			18			4			0.1			802			9
52279			33			5			0.03			802			29
52286			30			5			0.05			802			27
52313			30			3			0.02			802			27
52923			21			3			0.03			802			20
52927			21			3			0.03			802			20
53332			5			2			0			802			5
53573			31			4			0.03			802			24
53575			27			3			0.03			802			21
53581			23			3			0.02			802			19
53587			19			5			0.06			802			18
53697			16			3			0.03			802			16
54251			17			3			0.04			802			16
54454			10			4			0.29			802			10
54994			31			5			0.04			802			25
54995			27			5			0.03			802			27
54997			25			4			0.03			802			25
55533			19			3			0.03			802			18
55556			38			5			0.03			802			31
55681			18			5			0.2			802			17
56351			35			4			0.03			802			30
56374			34			5			0.02			802			31
56468			5			3			0.1			802			4
56470			11			4			0.05			802			9
56509			29			4			0.02			802			27
57025			27			5			0.03			802			27
57409			4			4			0.67			802			4
57465			12			4			0.15			802			6
57836			20			3			0.02			802			20
57878			3			2			0			802			3
57916			35			6			0.09			802			29
57921			24			3			0.03			802			22
58509			32			4			0.02			802			29
59671			6			4			0.53			802			6
59998			18			5			0.22			802			18
60082			16			4			0.1			802			12
60357			9			3			0.03			802			9
60448			24			4			0.03			802			21
60699			34			4			0.03			802			30
60722			26			4			0.05			802			26
60724			34			5			0.02			802			32
61288			28			5			0.03			802			28
61604			4			4			0.67			802			4
61743			6			3			0.07			802			6
61773			19			5			0.05			802			19
61774			17			5			0.06			802			17
61783			23			4			0.03			802			23
61785			16			4			0.04			802			16
61797			23			4			0.07			802			22
62546			24			3			0.03			802			22
63215			17			3			0.04			802			17
63662			21			5			0.09			802			19
64603			7			4			0.24			802			6
64842			40			5			0.03			802			31
64845			28			4			0.04			802			27
64851			34			4			0.02			802			29
65048			23			3			0.05			802			14
65219			12			3			0.06			802			11
65436			26			4			0.05			802			25
65897			7			4			0.62			802			7
66338			26			4			0.03			802			23
66620			3			3			0.33			802			3
66655			9			3			0.03			802			9
66918			5			4			0.5			802			4
67209			20			5			0.07			802			17
67211			10			3			0.04			802			10
67706			31			5			0.05			802			26
68052			8			3			0.04			802			8
68702			7			2			0			802			7
68703			21			3			0.02			802			21
68704			9			3			0.03			802			8
68705			8			3			0.04			802			8
68706			16			3			0.03			802			16
68707			9			3			0.03			802			9
68740			45			5			0.04			802			32
68744			33			5			0.06			802			30
69209			3			3			0.33			802			3
69571			7			3			0.05			802			7
69573			22			3			0.02			802			22
69644			36			6			0.09			802			27
69927			17			3			0.05			802			17
70001			24			5			0.05			802			24
70004			24			3			0.03			802			23
70008			24			4			0.04			802			24
70012			20			3			0.04			802			20
70023			28			3			0.02			802			25
70121			33			3			0.02			802			28
70123			28			4			0.09			802			24
70125			35			5			0.02			802			30
70131			11			4			0.09			802			10
70205			8			3			0.04			802			8
70982			13			3			0.03			802			13
70984			8			3			0.04			802			8
70987			8			3			0.04			802			8
70994			17			4			0.1			802			17
71002			8			3			0.04			802			8
71213			13			3			0.04			802			12
71371			17			4			0.04			802			16
71674			8			3			0.04			802			8
72370			37			5			0.04			802			32
72377			30			5			0.03			802			29
72396			20			3			0.04			802			20
72904			16			4			0.04			802			15
74305			22			3			0.04			802			19
77066			5			4			0.5			802			5
77977			4			2			0			802			4
78395			8			3			0.04			802			8
78409			6			4			0.47			802			6
78431			10			4			0.2			802			10
78828			13			3			0.04			802			11
79517			19			4			0.07			802			17
79578			9			4			0.14			802			8
81064			13			4			0.06			802			13
82010			24			5			0.15			802			16
82054			29			4			0.03			802			25
82849			14			4			0.09			802			13
83162			21			3			0.03			802			20
83166			21			3			0.03			802			20
88445			6			4			0.47			802			5
89502			19			3			0.02			802			19
89591			9			4			0.36			802			6
90280			7			2			0			802			5
90488			2			2			0			802			2
91906			17			4			0.04			802			17
93861			8			4			0.29			802			8
94639			22			3			0.02			802			22
94643			22			3			0.03			802			20
94660			10			3			0.02			802			9
94848			11			4			0.07			802			10
95650			10			3			0.04			802			10
95974			11			4			0.22			802			11
96426			8			3			0.04			802			7
96476			9			3			0.03			802			9
96482			18			3			0.02			802			18
96483			7			3			0.05			802			7
96487			8			3			0.04			802			8
97401			15			3			0.06			802			15
97611			4			4			0.67			802			4
97644			5			4			0.5			802			5
98329			20			5			0.08			802			16
98819			11			4			0.24			802			11
102919			6			3			0.2			802			5
104739			15			4			0.14			802			15
104836			16			4			0.06			802			16
105568			11			3			0.04			802			11
105574			13			3			0.03			802			13
107644			9			3			0.03			802			9
108666			30			5			0.04			802			24
109379			7			2			0			802			7
109504			7			4			0.43			802			6
110902			4			4			0.67			802			4
113927			6			4			0.27			802			5
